id,entid,CaseType,EMPNUM,WOMEMPNUM,BUSST,islatest,profit_loss,revenue,sales_cost,sales_tax,sales_expense,G_expense,finance_expense,asset_devaluation_losses,fair_value_change,investment_income,operation_profit,non_operating_income,non_operating_expense,total_profit,assets,assets_re,payrol_expense,main_business_income,main_business_cost,other_business_income,other_operating_cost,retained_profits,income_tax_adjuste,incometax_actual,ENTTYPE,INDUSTRYPHY,REGCAPCUR,RECCAP,PARFORM,Unnamed: 0_y,NAME,industry_tax,registertype,economic_type,incometax_rate,collection_type,avg_EMPNUM,std_EMPNUM
510,1189743165,4,12,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,4025,1,0,0,0,0,0,0,0
1318,881639012,4,0,0,0,1,-1.262129945,-0.18513297,-0.091167612,-0.284684484,-0.389956425,1.15199832,-1.192691502,0.75185889,-0.302624168,-0.698785003,0.189415612,-0.803329197,-0.84206932,0.437869129,-0.119006221,-0.575772657,0.353922065,-0.082694322,0.211741891,0.407056313,-0.681895974,0.861137172,0,-0.151293857,22,11,0,0,0,2735,0,0,8,211,0,2,2,0
174,40238525,4,4.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,0,0,0,0,0,0,0,0,0,0,0
986,325265909,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,3,0,4649,2,0,0,0,0,0,0,0
74,908247590,2,0,0,0,1,-1.297248603,-1.564002158,-1.804016208,0.516985204,-0.122720893,0.291643295,1.468622355,0.824843138,1.114996391,-0.604741606,0.349120157,1.319628846,-0.206249856,-1.37586216,-0.164701418,-0.347430375,-1.683109454,-0.291555104,-0.241889469,0.100732985,0.444445625,0.134650569,0,-0.430861348,3,11,1,5000,0,0,0,0,19,222,0,2,3,0
2165,534082754,4,7.25,4,1,1,0.2664515,0.498560593,0.198939141,0.551977085,-1.036801872,8507.473722,66.12833532,-0.676901344,0.688593112,-0.04241425,-8546.927573,0.485933664,0.503180411,-8546.850021,275083.2035,275082.4845,4001.361414,0.109501257,-0.80753578,0.560197635,0.196128827,-8573.077692,-8508.235034,1.268647812,3,11,1,1000,0,9141,2,2,8,53,0.25,0,1.333333333,0.577350269
110,565888112,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,17,0,0,0,0,0,0,0,0,0,0,0,0
926,1162220290,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,0,0,3323,1,0,0,0,0,0,0,0
1474,1066230471,4,4,4,1,1,-0.860411625,0.91632515,1.022979267,0.801282845,1.662600972,-0.93666882,1.430523777,-0.132061342,-0.42839086,-0.907912185,0.423653611,-0.636914782,-1.158731953,-0.167799492,1.581020083,-0.02173372,-0.794790158,0.375488616,0.827705434,-0.207103759,0.824864544,-0.216787806,0,-1.244951111,3,0,1,3080,0,1679,8,2,8,61,0.25,0,5,0
1315,1063798897,4,5.25,5.333333333,1,1,0.604708737,0.798967014,-0.012496683,0.398748992,0.782475839,-0.09723339,1.001547078,-0.12743825,0.920448489,-0.686303566,-0.487509063,0.041530165,-1.025604332,1.376451843,-1.04511007,0.519519238,1.037821878,0.085225112,-1.070452277,-1.037907476,-0.849587848,-0.435243018,0,-0.746733723,5,11,1,0,0,0,0,0,19,211,0.25,2,1.5,0.707106781
1744,1037303193,4,0,0,1,1,0.706006031,-0.430312512,0.433975795,-1.675869341,0.622312673,-0.277128099,0.151579826,0.111543856,-0.217812935,0.447385871,1.350544491,0.884038361,-0.388039347,-0.297163143,-0.20665346,-0.323150336,0.971245639,1.37696566,0.736410872,-3.685392274,-0.264345251,-0.220117121,0,0.585536389,3,11,1,20,0,0,0,0,19,206,0,2,5,0
2023,66139401,4,0,0,1,1,-0.241322829,0.699835154,1.249327597,1.431971876,-0.559784029,1.366767273,-0.667493256,0.645954008,-0.068102895,-0.605797484,-0.385372064,0.899818203,-2.497183126,-0.002385665,0.122998911,-1.089608635,-0.028971118,1.710872706,0.626156198,-0.267401292,-0.633096677,1.475359275,0,-1.416578886,16,11,1,0,1,0,1,0,8,207,0,2,5,0
2137,1124148664,4,10.5,0,1,1,0.374663082,142258.3791,-0.659318229,7966.782604,0.129615789,179244.8865,169.9423172,-0.521296118,-1.199640633,-0.158498348,-71912.78051,0.752591304,-0.800991718,-71912.3048,2574274.907,2574274.22,1.347224932,-0.279960231,0.139923818,0.90274269,0.648280891,-0.773566821,-119459.048,0.521512173,3,11,1,100,1,9909,2,2,8,67,0.25,0,5,0
1112,445220130,4,10.33333333,6.333333333,1,1,-0.551793641,-0.2698633,-0.377992893,0.436210643,0.264849756,118619.5064,-1.262733492,0.849453298,-1.128040739,-0.121803441,-118616.6503,0.224005037,-0.093500575,-118617.0657,0.274335106,0.897622134,47000.01883,-0.226641541,-0.862581219,-0.039168322,0.106679931,-143666.804,-43470.48275,0.032884376,17,11,0,0,0,4455,1,2,8,55,0.25,0,3.75,3.095695937
241,819159156,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,1,100,0,840,0,0,0,0,0,0,0,0
1562,608244362,4,18.33333333,6.5,1,1,0.470122908,-0.878663327,-1.660292151,-0.928239477,101926.1663,1094279.724,179.9527882,0.170625457,0.682693848,-0.459680703,-1196384.521,3500.569943,5498.927855,-1198384.943,213449.3192,213449.2917,956065.1057,-0.364750481,0.405793008,0.374721326,0.219839466,-1198384.039,0,0.212538105,19,8,0,0,0,6113,0,0,19,182,0.25,2,28.5,30.40559159
49,782621245,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1,1000,0,7188,0,0,8,76,0.25,1,0,0
