,CaseType,EMPNUM,WOMEMPNUM,BUSST,islatest,profit_loss,revenue,sales_cost,sales_tax,sales_expense,G_expense,finance_expense,asset_devaluation_losses,fair_value_change,investment_income,operation_profit,non_operating_income,non_operating_expense,total_profit,assets,assets_re,payrol_expense,main_business_income,main_business_cost,other_business_income,other_operating_cost,retained_profits,income_tax_adjuste,incometax_actual,ENTTYPE,INDUSTRYPHY,REGCAPCUR,RECCAP,PARFORM,Unnamed: 0_y,NAME,industry_tax,registertype,economic_type,incometax_rate,collection_type,avg_EMPNUM,std_EMPNUM
0,3,12.0,6.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,9,0,0.0,0,4025,1,0,0,0,0.0,0,0.0,0.0
1,3,0.0,0.0,0,1,-1.262129945,-0.18513297,-0.091167612,-0.28468448399999996,-0.389956425,1.15199832,-1.192691502,0.75185889,-0.302624168,-0.698785003,0.18941561199999998,-0.803329197,-0.84206932,0.43786912899999997,-0.119006221,-0.575772657,0.353922065,-0.082694322,0.21174189100000002,0.40705631299999995,-0.681895974,0.8611371720000001,0.0,-0.151293857,22,11,0,0.0,0,2735,0,0,8,211,0.0,2,2.0,0.0
2,0,4.5,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,1,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0
3,3,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,1,3.0,0,4649,2,0,0,0,0.0,0,0.0,0.0
4,2,0.0,0.0,0,1,-1.297248603,-1.564002158,-1.8040162080000002,0.516985204,-0.12272089300000001,0.291643295,1.468622355,0.824843138,1.114996391,-0.604741606,0.34912015700000004,1.3196288459999999,-0.206249856,-1.37586216,-0.16470141800000002,-0.347430375,-1.683109454,-0.291555104,-0.241889469,0.100732985,0.444445625,0.134650569,0.0,-0.430861348,3,11,1,5000.0,0,0,0,0,19,222,0.0,2,3.0,0.0
5,3,7.25,4.0,1,1,0.2664515,0.498560593,0.198939141,0.551977085,-1.036801872,8507.473722,66.12833532,-0.676901344,0.6885931120000001,-0.04241425,-8546.927573,0.485933664,0.503180411,-8546.850021,275083.2035,275082.4845,4001.361414,0.10950125699999999,-0.80753578,0.560197635,0.196128827,-8573.077692,-8508.235034000001,1.268647812,3,11,1,1000.0,0,9141,2,2,8,53,0.25,0,1.333333333,0.577350269
6,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,17,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0
7,3,1.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,9,0,0.0,0,3323,1,0,0,0,0.0,0,0.0,0.0
8,3,4.0,4.0,1,1,-0.860411625,0.91632515,1.022979267,0.801282845,1.662600972,-0.93666882,1.4305237769999999,-0.132061342,-0.42839086,-0.907912185,0.42365361100000004,-0.6369147820000001,-1.158731953,-0.167799492,1.581020083,-0.02173372,-0.794790158,0.375488616,0.8277054340000001,-0.207103759,0.8248645440000001,-0.21678780600000003,0.0,-1.244951111,3,0,1,3080.0,0,1679,8,2,8,61,0.25,0,5.0,0.0
9,3,5.25,5.333333333,1,1,0.604708737,0.798967014,-0.012496683,0.398748992,0.7824758390000001,-0.09723339,1.001547078,-0.12743825,0.9204484890000001,-0.686303566,-0.48750906299999996,0.041530165,-1.0256043320000001,1.3764518430000001,-1.04511007,0.519519238,1.037821878,0.08522511199999999,-1.070452277,-1.037907476,-0.849587848,-0.435243018,0.0,-0.746733723,5,11,1,0.0,0,0,0,0,19,211,0.25,2,1.5,0.7071067809999999
10,3,0.0,0.0,1,1,0.7060060309999999,-0.43031251200000004,0.433975795,-1.6758693409999998,0.6223126729999999,-0.27712809899999996,0.151579826,0.111543856,-0.217812935,0.447385871,1.350544491,0.884038361,-0.38803934700000003,-0.297163143,-0.20665346,-0.32315033600000004,0.971245639,1.37696566,0.736410872,-3.685392274,-0.264345251,-0.22011712100000003,0.0,0.5855363889999999,3,11,1,20.0,0,0,0,0,19,206,0.0,2,5.0,0.0
11,3,0.0,0.0,1,1,-0.241322829,0.6998351540000001,1.249327597,1.431971876,-0.559784029,1.3667672730000002,-0.667493256,0.645954008,-0.068102895,-0.605797484,-0.38537206399999996,0.8998182029999999,-2.497183126,-0.002385665,0.122998911,-1.089608635,-0.028971117999999997,1.710872706,0.626156198,-0.267401292,-0.633096677,1.475359275,0.0,-1.416578886,16,11,1,0.0,1,0,1,0,8,207,0.0,2,5.0,0.0
12,3,10.5,0.0,1,1,0.37466308200000004,142258.3791,-0.659318229,7966.782604000001,0.129615789,179244.8865,169.9423172,-0.521296118,-1.199640633,-0.158498348,-71912.78051,0.7525913040000001,-0.800991718,-71912.3048,2574274.9069999997,2574274.22,1.3472249319999998,-0.279960231,0.139923818,0.90274269,0.648280891,-0.773566821,-119459.04800000001,0.521512173,3,11,1,100.0,1,9909,2,2,8,67,0.25,0,5.0,0.0
